x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
campaign,age,0.0,regression,True,mean absolute error,8.334,8.488765639700162,DecisionTreeRegressor()
campaign,campaign,1.0,predict_itself,True,,0.0,1.0,
campaign,pdays,0.0,regression,True,mean absolute error,34.3472,65.95441634702078,DecisionTreeRegressor()
campaign,previous,0.0,regression,True,mean absolute error,0.1646,0.2832975034787389,DecisionTreeRegressor()
campaign,emp.var.rate,0.0,regression,True,mean absolute error,1.27854,1.3967811542344548,DecisionTreeRegressor()
campaign,cons.price.idx,0.01,regression,True,mean absolute error,0.5086362000000009,0.5028723804447743,DecisionTreeRegressor()
campaign,cons.conf.idx,0.0,regression,True,mean absolute error,3.7565400000000007,3.9516722878431008,DecisionTreeRegressor()
campaign,euribor3m,0.0,regression,True,mean absolute error,1.341607,1.5982206315690635,DecisionTreeRegressor()
campaign,nr.employed,0.0,regression,True,mean absolute error,54.77754000000009,61.81197680332821,DecisionTreeRegressor()
campaign,subscribed,0.0,classification,True,weighted F1,0.8338834128245893,0.8338834485508552,DecisionTreeClassifier()
campaign,job_admin.,0.0,classification,True,weighted F1,0.6436654404204273,0.6428570645439048,DecisionTreeClassifier()
campaign,job_blue-collar,0.0,classification,True,weighted F1,0.676487536623845,0.6756994082316143,DecisionTreeClassifier()
campaign,job_entrepreneur,0.0,classification,True,weighted F1,0.9460336490477644,0.9460336807440198,DecisionTreeClassifier()
campaign,job_housemaid,0.0,classification,True,weighted F1,0.960873887931908,0.960873919136163,DecisionTreeClassifier()
campaign,job_management,0.0,classification,True,weighted F1,0.8918827192527243,0.89168287224537,DecisionTreeClassifier()
campaign,job_other,0.0,classification,True,weighted F1,0.986819445560466,0.986819445560466,DecisionTreeClassifier()
campaign,job_retired,0.0,classification,True,weighted F1,0.9368591744993869,0.9367591805474755,DecisionTreeClassifier()
campaign,job_self-employed,0.0,classification,True,weighted F1,0.9466262498727217,0.9466262815367164,DecisionTreeClassifier()
campaign,job_services,0.0,classification,True,weighted F1,0.8584201680672268,0.8584201680672268,DecisionTreeClassifier()
campaign,job_student,0.0,classification,True,weighted F1,0.9698030508132135,0.9698030817471399,DecisionTreeClassifier()
campaign,job_technician,0.0,classification,True,weighted F1,0.7652658690450294,0.7652467391917824,DecisionTreeClassifier()
campaign,job_unemployed,0.0,classification,True,weighted F1,0.961765964343598,0.9616659406269729,DecisionTreeClassifier()
campaign,marital_divorced,0.0,classification,True,weighted F1,0.8347465140919686,0.8347465616714926,DecisionTreeClassifier()
campaign,marital_married,0.0,classification,True,weighted F1,0.5204,0.45200598940137526,DecisionTreeClassifier()
campaign,marital_other,0.0,classification,True,weighted F1,0.9976006405124099,0.9976006405124099,DecisionTreeClassifier()
campaign,marital_single,0.0,classification,True,weighted F1,0.5890642957416939,0.5881889442373214,DecisionTreeClassifier()
campaign,education_basic.4y,0.0,classification,True,weighted F1,0.8459862403714254,0.8458865344027016,DecisionTreeClassifier()
campaign,education_basic.6y,0.0,classification,True,weighted F1,0.9159242152927858,0.9159242479843185,DecisionTreeClassifier()
campaign,education_basic.9y,0.0,classification,True,weighted F1,0.7824970286331714,0.7831615464732162,DecisionTreeClassifier()
campaign,education_high.school,0.0,classification,True,weighted F1,0.6696711944852526,0.6690809375581983,DecisionTreeClassifier()
campaign,education_illiterate,0.0,classification,True,weighted F1,0.9991000900270081,0.9991001200480192,DecisionTreeClassifier()
campaign,education_other,0.0,classification,True,weighted F1,0.9359724067450179,0.9357723726509597,DecisionTreeClassifier()
campaign,education_professional.course,0.0,classification,True,weighted F1,0.8223959552953698,0.8224744816526217,DecisionTreeClassifier()
campaign,education_university.degree,0.0,classification,True,weighted F1,0.588,0.5823148339708575,DecisionTreeClassifier()
campaign,housing_no,0.0,classification,True,weighted F1,0.5104,0.41809757750946674,DecisionTreeClassifier()
campaign,housing_other,0.0,classification,True,weighted F1,0.9659314586283634,0.9657313637651708,DecisionTreeClassifier()
