x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
euribor3m,emp.var.rate,0.97,regression,True,mean absolute error,1.27854,0.036690604228145414,DecisionTreeRegressor()
euribor3m,cons.price.idx,0.81,regression,True,mean absolute error,0.5086362000000009,0.09582922659596906,DecisionTreeRegressor()
euribor3m,cons.conf.idx,0.81,regression,True,mean absolute error,3.7565400000000007,0.7305120566704362,DecisionTreeRegressor()
euribor3m,nr.employed,0.97,regression,True,mean absolute error,54.77754000000009,1.7035974500739304,DecisionTreeRegressor()
euribor3m,subscribed,0.2,classification,True,weighted F1,0.8338834128245893,0.8677083373305461,DecisionTreeClassifier()
euribor3m,contact_cellular,0.74,classification,True,weighted F1,0.5252,0.8751957011178698,DecisionTreeClassifier()
euribor3m,contact_telephone,0.75,classification,True,weighted F1,0.5252,0.8795187249283378,DecisionTreeClassifier()
euribor3m,month_apr,0.98,classification,True,weighted F1,0.9038849111202977,0.9983882198769963,DecisionTreeClassifier()
euribor3m,month_aug,0.69,classification,True,weighted F1,0.7856143319663286,0.9330959898296275,DecisionTreeClassifier()
euribor3m,month_dec,0.42,classification,True,weighted F1,0.9934048506714773,0.9961734349920905,DecisionTreeClassifier()
euribor3m,month_jul,0.59,classification,True,weighted F1,0.7456105217010083,0.8956101919849642,DecisionTreeClassifier()
euribor3m,month_jun,0.59,classification,True,weighted F1,0.8138056593699947,0.9240948295731677,DecisionTreeClassifier()
euribor3m,month_mar,0.93,classification,True,weighted F1,0.9781536818777072,0.9984085987447456,DecisionTreeClassifier()
euribor3m,month_may,0.97,classification,True,weighted F1,0.5504,0.9843580017171342,DecisionTreeClassifier()
euribor3m,month_nov,0.96,classification,True,weighted F1,0.8561036164844407,0.9939525244245719,DecisionTreeClassifier()
euribor3m,month_oct,0.78,classification,True,weighted F1,0.972187301907742,0.993962838022264,DecisionTreeClassifier()
euribor3m,month_sep,0.7,classification,True,weighted F1,0.9796465565847764,0.993809116546987,DecisionTreeClassifier()
euribor3m,day_of_week_fri,0.53,classification,True,weighted F1,0.7283091591260208,0.8718008781149295,DecisionTreeClassifier()
euribor3m,day_of_week_mon,0.61,classification,True,weighted F1,0.692644755401321,0.8816015514149138,DecisionTreeClassifier()
euribor3m,day_of_week_thu,0.71,classification,True,weighted F1,0.7014489682097045,0.9140154500456237,DecisionTreeClassifier()
euribor3m,day_of_week_tue,0.59,classification,True,weighted F1,0.7213619121389842,0.8866583564361535,DecisionTreeClassifier()
euribor3m,day_of_week_wed,0.49,classification,True,weighted F1,0.7119408641563924,0.8536586434240349,DecisionTreeClassifier()
euribor3m,poutcome_nonexistent,0.22,classification,True,weighted F1,0.8086619878035733,0.8507505385577092,DecisionTreeClassifier()
nr.employed,emp.var.rate,1.0,regression,True,mean absolute error,1.27854,0.00026000000002370487,DecisionTreeRegressor()
nr.employed,cons.price.idx,0.68,regression,True,mean absolute error,0.5086362000000009,0.16120384264876442,DecisionTreeRegressor()
nr.employed,cons.conf.idx,0.59,regression,True,mean absolute error,3.7565400000000007,1.55489039264236,DecisionTreeRegressor()
nr.employed,euribor3m,0.97,regression,True,mean absolute error,1.341607,0.03641897489930113,DecisionTreeRegressor()
nr.employed,subscribed,0.16,classification,True,weighted F1,0.8338834128245893,0.8603738229422682,DecisionTreeClassifier()
nr.employed,contact_cellular,0.58,classification,True,weighted F1,0.5252,0.8002740529030642,DecisionTreeClassifier()
nr.employed,contact_telephone,0.58,classification,True,weighted F1,0.5252,0.8002740529030642,DecisionTreeClassifier()
nr.employed,month_dec,0.97,classification,True,weighted F1,0.9934048506714773,0.9997889290334092,DecisionTreeClassifier()
nr.employed,month_may,0.84,classification,True,weighted F1,0.5504,0.9275050041155548,DecisionTreeClassifier()
nr.employed,month_nov,0.9,classification,True,weighted F1,0.8561036164844407,0.9852310241361557,DecisionTreeClassifier()
nr.employed,poutcome_nonexistent,0.24,classification,True,weighted F1,0.8086619878035733,0.8550895734983552,DecisionTreeClassifier()
job_admin.,education_university.degree,0.32,classification,True,weighted F1,0.588,0.7183550799766926,DecisionTreeClassifier()
job_management,education_university.degree,0.22,classification,True,weighted F1,0.588,0.6791709736300391,DecisionTreeClassifier()
job_services,education_high.school,0.31,classification,True,weighted F1,0.6696711944852526,0.7728925413169268,DecisionTreeClassifier()
marital_divorced,marital_married,0.28,classification,True,weighted F1,0.5204,0.6541237763168805,DecisionTreeClassifier()
marital_married,marital_single,0.73,classification,True,weighted F1,0.5890642957416939,0.890376587951234,DecisionTreeClassifier()
marital_single,marital_married,0.75,classification,True,weighted F1,0.5204,0.8815844153735973,DecisionTreeClassifier()
education_basic.4y,job_blue-collar,0.24,classification,True,weighted F1,0.676487536623845,0.7534314060215153,DecisionTreeClassifier()
education_basic.6y,job_blue-collar,0.19,classification,True,weighted F1,0.676487536623845,0.7387361053383136,DecisionTreeClassifier()
education_basic.9y,job_blue-collar,0.32,classification,True,weighted F1,0.676487536623845,0.7814520393699486,DecisionTreeClassifier()
education_professional.course,job_technician,0.43,classification,True,weighted F1,0.7652658690450294,0.867143565821862,DecisionTreeClassifier()
housing_no,housing_yes,0.95,classification,True,weighted F1,0.5044,0.9771411393177805,DecisionTreeClassifier()
housing_other,loan_no,0.2,classification,True,weighted F1,0.7506525486764385,0.800058790337851,DecisionTreeClassifier()
housing_other,loan_other,1.0,classification,True,weighted F1,0.9659314586283634,1.0,DecisionTreeClassifier()
housing_yes,housing_no,0.95,classification,True,weighted F1,0.5104,0.9772556281419116,DecisionTreeClassifier()
loan_no,loan_yes,0.9,classification,True,weighted F1,0.78278029386344,0.9778852974046436,DecisionTreeClassifier()
loan_other,housing_other,1.0,classification,True,weighted F1,0.9659314586283634,1.0,DecisionTreeClassifier()
loan_other,loan_no,0.2,classification,True,weighted F1,0.7506525486764385,0.800058790337851,DecisionTreeClassifier()
loan_yes,loan_no,0.91,classification,True,weighted F1,0.7506525486764385,0.9764804964413326,DecisionTreeClassifier()
contact_cellular,cons.price.idx,0.3,regression,True,mean absolute error,0.5086362000000009,0.3548138973331556,DecisionTreeRegressor()
contact_cellular,contact_telephone,1.0,classification,True,weighted F1,0.5252,1.0,DecisionTreeClassifier()
contact_cellular,month_may,0.33,classification,True,weighted F1,0.5504,0.6980181167103046,DecisionTreeClassifier()
contact_telephone,cons.price.idx,0.3,regression,True,mean absolute error,0.5086362000000009,0.3548138973331557,DecisionTreeRegressor()
contact_telephone,contact_cellular,1.0,classification,True,weighted F1,0.5252,1.0,DecisionTreeClassifier()
contact_telephone,month_may,0.33,classification,True,weighted F1,0.5504,0.6980181167103046,DecisionTreeClassifier()
month_aug,cons.conf.idx,0.17,regression,True,mean absolute error,3.7565400000000007,3.102533257483369,DecisionTreeRegressor()
month_jul,cons.price.idx,0.12,regression,True,mean absolute error,0.5086362000000009,0.44545532834053225,DecisionTreeRegressor()
month_jun,cons.price.idx,0.13,regression,True,mean absolute error,0.5086362000000009,0.4418244757783958,DecisionTreeRegressor()
month_jun,contact_cellular,0.33,classification,True,weighted F1,0.5252,0.6796008992138328,DecisionTreeClassifier()
month_jun,contact_telephone,0.33,classification,True,weighted F1,0.5252,0.6796008992138328,DecisionTreeClassifier()
month_may,contact_cellular,0.35,classification,True,weighted F1,0.5252,0.6926565360068162,DecisionTreeClassifier()
month_may,contact_telephone,0.35,classification,True,weighted F1,0.5252,0.6926565360068162,DecisionTreeClassifier()
poutcome_failure,previous,0.25,regression,True,mean absolute error,0.1646,0.12332254832891404,DecisionTreeRegressor()
poutcome_failure,poutcome_nonexistent,0.83,classification,True,weighted F1,0.8086619878035733,0.9666991916831883,DecisionTreeClassifier()
poutcome_nonexistent,previous,0.66,regression,True,mean absolute error,0.1646,0.05561200468452609,DecisionTreeRegressor()
poutcome_nonexistent,poutcome_failure,0.8,classification,True,weighted F1,0.8537885521885522,0.9704943298325336,DecisionTreeClassifier()
poutcome_success,pdays,0.81,regression,True,mean absolute error,34.3472,6.3897991845101485,DecisionTreeRegressor()
poutcome_success,subscribed,0.22,classification,True,weighted F1,0.8338834128245893,0.8702691623631409,DecisionTreeClassifier()
poutcome_success,poutcome_nonexistent,0.34,classification,True,weighted F1,0.8086619878035733,0.8730053588443978,DecisionTreeClassifier()
